,short_position,GKDiving,Composure,Finishing,Vision,Strength,Stamina,Jumping,ShotPower,Reactions,Agility,Dribbling,HeadingAccuracy
2681,front,9.0,66.0,75.0,64.0,62.0,67.0,64.0,72.0,71.0,73.0,71.0,63.0
2682,midfield,8.0,76.0,68.0,74.0,45.0,70.0,59.0,60.0,72.0,85.0,77.0,40.0
2683,back,12.0,61.0,43.0,38.0,79.0,74.0,89.0,56.0,71.0,63.0,46.0,78.0
2684,front,15.0,56.0,72.0,73.0,57.0,74.0,57.0,73.0,69.0,75.0,78.0,43.0
2685,back,12.0,68.0,59.0,56.0,72.0,75.0,86.0,66.0,68.0,78.0,73.0,68.0
2686,back,10.0,72.0,54.0,69.0,72.0,81.0,73.0,73.0,71.0,67.0,73.0,68.0
2687,midfield,15.0,74.0,48.0,69.0,64.0,81.0,64.0,69.0,74.0,70.0,73.0,48.0
2688,back,9.0,67.0,47.0,66.0,70.0,83.0,56.0,57.0,72.0,74.0,57.0,61.0
2689,back,11.0,69.0,60.0,71.0,72.0,67.0,69.0,81.0,74.0,65.0,67.0,67.0
2690,midfield,9.0,66.0,71.0,69.0,61.0,75.0,39.0,68.0,68.0,80.0,74.0,43.0
2691,midfield,14.0,68.0,58.0,73.0,65.0,65.0,62.0,55.0,70.0,75.0,75.0,44.0
2692,front,8.0,68.0,73.0,59.0,75.0,73.0,73.0,73.0,70.0,68.0,67.0,77.0
2693,front,16.0,70.0,71.0,65.0,74.0,70.0,71.0,68.0,71.0,65.0,73.0,77.0
2694,midfield,10.0,70.0,64.0,64.0,32.0,75.0,43.0,68.0,74.0,91.0,74.0,48.0
2695,midfield,12.0,70.0,73.0,64.0,63.0,84.0,68.0,80.0,72.0,76.0,71.0,63.0
2696,front,11.0,74.0,75.0,42.0,83.0,56.0,89.0,76.0,74.0,34.0,53.0,78.0
2697,back,6.0,68.0,29.0,30.0,82.0,70.0,79.0,54.0,76.0,67.0,47.0,70.0
2698,back,9.0,71.0,43.0,59.0,75.0,87.0,76.0,63.0,71.0,72.0,68.0,66.0
2699,midfield,11.0,67.0,69.0,71.0,64.0,83.0,73.0,73.0,69.0,75.0,74.0,40.0
2700,midfield,8.0,67.0,73.0,65.0,71.0,72.0,54.0,70.0,62.0,76.0,78.0,52.0
2701,back,6.0,68.0,58.0,61.0,77.0,73.0,70.0,69.0,71.0,61.0,65.0,72.0
2702,back,9.0,71.0,41.0,39.0,76.0,53.0,72.0,67.0,76.0,34.0,55.0,77.0
2703,front,6.0,72.0,65.0,72.0,34.0,66.0,71.0,60.0,73.0,88.0,78.0,55.0
2704,back,10.0,68.0,56.0,72.0,71.0,80.0,67.0,72.0,68.0,78.0,74.0,60.0
2705,midfield,11.0,66.0,59.0,71.0,73.0,72.0,71.0,54.0,73.0,57.0,71.0,72.0
2706,goalkeeper,69.0,53.0,10.0,45.0,68.0,39.0,60.0,41.0,62.0,31.0,17.0,22.0
2707,back,6.0,66.0,24.0,38.0,90.0,71.0,55.0,36.0,62.0,41.0,44.0,75.0
2708,midfield,10.0,68.0,67.0,68.0,73.0,82.0,66.0,73.0,66.0,76.0,70.0,63.0
2709,midfield,7.0,78.0,49.0,68.0,80.0,76.0,79.0,64.0,72.0,62.0,68.0,75.0
2710,midfield,15.0,74.0,59.0,72.0,74.0,90.0,73.0,61.0,71.0,81.0,75.0,55.0
2711,back,12.0,73.0,66.0,69.0,62.0,71.0,78.0,66.0,72.0,81.0,75.0,59.0
2712,midfield,7.0,70.0,62.0,69.0,64.0,81.0,52.0,66.0,74.0,77.0,73.0,56.0
2713,midfield,12.0,70.0,61.0,67.0,75.0,84.0,75.0,76.0,67.0,63.0,68.0,70.0
2714,midfield,10.0,81.0,56.0,83.0,80.0,34.0,31.0,76.0,73.0,60.0,69.0,59.0
2715,midfield,7.0,66.0,53.0,68.0,65.0,77.0,55.0,76.0,68.0,76.0,74.0,68.0
2716,back,14.0,73.0,39.0,59.0,82.0,66.0,80.0,74.0,71.0,48.0,55.0,72.0
2717,front,7.0,61.0,76.0,50.0,87.0,55.0,60.0,76.0,64.0,60.0,66.0,79.0
2718,goalkeeper,75.0,53.0,14.0,36.0,58.0,44.0,67.0,13.0,65.0,63.0,12.0,12.0
2719,back,11.0,73.0,63.0,64.0,71.0,86.0,70.0,64.0,66.0,79.0,68.0,70.0
2720,back,11.0,73.0,37.0,55.0,74.0,75.0,75.0,52.0,66.0,68.0,71.0,71.0
2721,front,13.0,69.0,73.0,64.0,70.0,68.0,76.0,72.0,72.0,71.0,71.0,71.0
2722,midfield,11.0,70.0,65.0,71.0,58.0,71.0,59.0,72.0,65.0,75.0,75.0,48.0
2723,midfield,11.0,66.0,69.0,73.0,63.0,75.0,64.0,73.0,65.0,81.0,73.0,43.0
2724,midfield,14.0,70.0,76.0,69.0,72.0,72.0,64.0,80.0,76.0,59.0,62.0,69.0
2725,midfield,12.0,64.0,72.0,67.0,61.0,63.0,60.0,66.0,65.0,65.0,79.0,50.0
2726,goalkeeper,74.0,55.0,13.0,45.0,70.0,38.0,74.0,20.0,71.0,55.0,14.0,12.0
2727,back,14.0,71.0,70.0,57.0,70.0,81.0,59.0,68.0,70.0,86.0,72.0,57.0
2728,back,9.0,64.0,36.0,58.0,71.0,77.0,80.0,55.0,71.0,67.0,62.0,60.0
2729,back,10.0,67.0,20.0,42.0,80.0,68.0,70.0,87.0,65.0,62.0,65.0,71.0
2730,back,9.0,63.0,60.0,67.0,75.0,78.0,75.0,75.0,71.0,78.0,73.0,64.0
2731,back,16.0,73.0,52.0,45.0,66.0,79.0,67.0,46.0,74.0,71.0,71.0,67.0
2732,midfield,6.0,68.0,66.0,62.0,42.0,80.0,74.0,75.0,54.0,79.0,78.0,51.0
2733,midfield,13.0,57.0,59.0,73.0,44.0,77.0,50.0,54.0,76.0,61.0,64.0,35.0
2734,back,15.0,65.0,54.0,60.0,62.0,75.0,71.0,72.0,71.0,78.0,70.0,53.0
2735,back,11.0,68.0,40.0,60.0,64.0,74.0,63.0,79.0,70.0,77.0,68.0,58.0
2736,front,12.0,68.0,74.0,52.0,78.0,78.0,77.0,69.0,65.0,74.0,69.0,78.0
2737,back,9.0,65.0,23.0,42.0,75.0,67.0,73.0,52.0,72.0,62.0,61.0,74.0
2738,front,7.0,68.0,71.0,70.0,65.0,78.0,92.0,74.0,71.0,85.0,72.0,74.0
2739,front,15.0,69.0,73.0,59.0,78.0,85.0,74.0,82.0,73.0,63.0,66.0,67.0
2740,midfield,15.0,64.0,71.0,67.0,56.0,73.0,71.0,77.0,63.0,80.0,80.0,55.0
2741,midfield,8.0,64.0,67.0,69.0,60.0,71.0,83.0,76.0,68.0,92.0,79.0,48.0
2742,goalkeeper,78.0,56.0,16.0,30.0,55.0,25.0,65.0,23.0,51.0,53.0,19.0,19.0
2743,midfield,14.0,73.0,53.0,74.0,68.0,78.0,50.0,64.0,73.0,75.0,73.0,32.0
2744,midfield,9.0,69.0,58.0,65.0,71.0,72.0,78.0,83.0,70.0,61.0,64.0,54.0
2745,goalkeeper,72.0,68.0,12.0,36.0,72.0,42.0,56.0,20.0,64.0,31.0,17.0,12.0
2746,midfield,15.0,70.0,72.0,74.0,68.0,64.0,81.0,76.0,73.0,73.0,74.0,38.0
2747,midfield,10.0,65.0,69.0,68.0,50.0,69.0,49.0,65.0,60.0,80.0,75.0,39.0
2748,back,15.0,69.0,54.0,48.0,75.0,69.0,75.0,76.0,73.0,63.0,61.0,76.0
2749,midfield,13.0,72.0,57.0,71.0,58.0,79.0,74.0,78.0,69.0,80.0,71.0,49.0
2750,midfield,10.0,65.0,69.0,79.0,67.0,60.0,54.0,65.0,65.0,71.0,75.0,44.0
2751,midfield,6.0,69.0,47.0,64.0,63.0,83.0,74.0,60.0,66.0,74.0,72.0,50.0
2752,back,9.0,61.0,35.0,48.0,81.0,76.0,76.0,36.0,70.0,65.0,64.0,74.0
2753,front,9.0,62.0,75.0,65.0,56.0,72.0,75.0,71.0,75.0,86.0,79.0,55.0
2754,midfield,7.0,71.0,67.0,75.0,59.0,76.0,53.0,63.0,65.0,73.0,74.0,42.0
2755,front,16.0,70.0,74.0,59.0,79.0,68.0,74.0,76.0,68.0,58.0,67.0,72.0
2756,back,7.0,70.0,40.0,45.0,72.0,73.0,73.0,67.0,71.0,73.0,64.0,74.0
2757,back,14.0,67.0,23.0,42.0,88.0,74.0,81.0,50.0,66.0,55.0,39.0,72.0
2758,front,12.0,70.0,72.0,69.0,82.0,84.0,71.0,70.0,66.0,82.0,71.0,68.0
2759,back,9.0,66.0,45.0,59.0,60.0,87.0,79.0,57.0,74.0,75.0,72.0,55.0
2760,midfield,8.0,66.0,66.0,78.0,56.0,71.0,74.0,67.0,63.0,81.0,72.0,43.0
2761,back,11.0,66.0,52.0,62.0,69.0,83.0,70.0,75.0,74.0,67.0,74.0,64.0
2762,back,11.0,62.0,18.0,54.0,78.0,68.0,60.0,57.0,62.0,60.0,55.0,73.0
2763,midfield,16.0,66.0,75.0,68.0,65.0,73.0,63.0,69.0,62.0,75.0,76.0,55.0
2764,front,10.0,74.0,76.0,67.0,80.0,71.0,71.0,75.0,67.0,63.0,71.0,78.0
2765,midfield,9.0,67.0,69.0,67.0,52.0,70.0,55.0,70.0,68.0,86.0,76.0,40.0
2766,midfield,12.0,59.0,68.0,74.0,63.0,68.0,30.0,74.0,69.0,79.0,73.0,40.0
2767,back,12.0,71.0,44.0,59.0,73.0,79.0,67.0,50.0,65.0,66.0,62.0,67.0
2768,midfield,13.0,65.0,68.0,70.0,34.0,71.0,70.0,70.0,67.0,79.0,74.0,40.0
2769,midfield,8.0,65.0,68.0,67.0,48.0,68.0,58.0,68.0,64.0,88.0,79.0,51.0
2770,back,8.0,72.0,47.0,72.0,64.0,80.0,74.0,76.0,75.0,77.0,70.0,55.0
2771,midfield,16.0,69.0,66.0,73.0,68.0,74.0,68.0,73.0,73.0,70.0,70.0,68.0
2772,back,16.0,71.0,40.0,57.0,90.0,76.0,64.0,69.0,68.0,31.0,45.0,77.0
2773,back,9.0,58.0,35.0,27.0,83.0,73.0,81.0,41.0,67.0,49.0,55.0,68.0
2774,front,6.0,73.0,74.0,53.0,63.0,72.0,74.0,75.0,72.0,66.0,68.0,67.0
2775,front,7.0,74.0,78.0,58.0,78.0,60.0,64.0,72.0,66.0,56.0,66.0,78.0
2776,back,10.0,69.0,38.0,38.0,80.0,84.0,75.0,55.0,78.0,48.0,48.0,77.0
2777,back,16.0,69.0,35.0,46.0,87.0,54.0,66.0,42.0,73.0,53.0,31.0,75.0
2778,back,11.0,68.0,32.0,39.0,78.0,64.0,85.0,51.0,67.0,66.0,42.0,66.0
2779,front,8.0,68.0,78.0,61.0,79.0,74.0,79.0,74.0,67.0,71.0,64.0,78.0
2780,midfield,14.0,77.0,50.0,72.0,68.0,73.0,71.0,72.0,66.0,69.0,72.0,50.0
2781,midfield,9.0,71.0,55.0,77.0,61.0,86.0,45.0,76.0,68.0,60.0,67.0,57.0
2782,midfield,10.0,72.0,59.0,74.0,68.0,72.0,29.0,79.0,65.0,68.0,64.0,48.0
2783,back,8.0,72.0,42.0,50.0,79.0,75.0,76.0,79.0,64.0,67.0,60.0,72.0
2784,back,11.0,57.0,29.0,33.0,66.0,68.0,78.0,41.0,72.0,64.0,49.0,74.0
2785,midfield,11.0,73.0,54.0,63.0,75.0,92.0,72.0,73.0,68.0,69.0,68.0,46.0
2786,back,10.0,68.0,38.0,60.0,67.0,78.0,71.0,61.0,75.0,70.0,68.0,50.0
2787,back,6.0,75.0,60.0,66.0,74.0,73.0,83.0,74.0,70.0,64.0,68.0,77.0
2788,back,12.0,66.0,54.0,56.0,67.0,83.0,71.0,71.0,68.0,71.0,69.0,59.0
2789,back,15.0,61.0,32.0,38.0,82.0,69.0,68.0,60.0,63.0,61.0,51.0,68.0
2790,front,7.0,73.0,72.0,66.0,80.0,72.0,75.0,75.0,69.0,72.0,71.0,80.0
2791,back,9.0,58.0,53.0,56.0,76.0,65.0,78.0,72.0,72.0,54.0,59.0,70.0
2792,midfield,14.0,66.0,66.0,76.0,38.0,78.0,87.0,72.0,69.0,82.0,73.0,41.0
2793,midfield,8.0,64.0,64.0,64.0,77.0,83.0,75.0,75.0,67.0,68.0,63.0,60.0
2794,goalkeeper,74.0,59.0,12.0,38.0,72.0,31.0,71.0,22.0,70.0,47.0,16.0,14.0
2795,midfield,7.0,69.0,66.0,61.0,63.0,71.0,51.0,58.0,73.0,81.0,79.0,54.0
2796,midfield,7.0,76.0,51.0,75.0,70.0,90.0,80.0,75.0,75.0,90.0,76.0,54.0
2797,midfield,11.0,74.0,58.0,68.0,66.0,64.0,50.0,76.0,64.0,78.0,79.0,52.0
2798,midfield,10.0,77.0,76.0,73.0,76.0,77.0,76.0,80.0,74.0,62.0,67.0,79.0
2799,midfield,15.0,62.0,46.0,64.0,68.0,67.0,67.0,69.0,65.0,69.0,66.0,69.0
2800,midfield,6.0,79.0,55.0,58.0,69.0,66.0,71.0,63.0,71.0,56.0,59.0,73.0
2801,goalkeeper,73.0,63.0,14.0,65.0,72.0,43.0,75.0,16.0,70.0,33.0,17.0,19.0
2802,midfield,16.0,81.0,61.0,80.0,72.0,54.0,74.0,80.0,69.0,69.0,73.0,67.0
2803,midfield,12.0,71.0,50.0,72.0,67.0,57.0,66.0,75.0,71.0,69.0,72.0,58.0
2804,back,8.0,68.0,26.0,51.0,55.0,84.0,66.0,55.0,64.0,76.0,67.0,65.0
2805,goalkeeper,74.0,32.0,12.0,43.0,75.0,25.0,68.0,18.0,66.0,34.0,11.0,11.0
2806,midfield,8.0,76.0,69.0,70.0,71.0,69.0,42.0,75.0,71.0,76.0,82.0,59.0
2807,back,7.0,70.0,43.0,68.0,66.0,86.0,77.0,66.0,75.0,76.0,73.0,52.0
2808,midfield,11.0,72.0,56.0,73.0,74.0,60.0,48.0,83.0,70.0,66.0,68.0,60.0
2809,back,10.0,73.0,35.0,37.0,68.0,32.0,68.0,59.0,74.0,53.0,44.0,76.0
2810,back,9.0,74.0,32.0,61.0,79.0,76.0,77.0,50.0,69.0,71.0,52.0,76.0
2811,midfield,14.0,75.0,67.0,73.0,70.0,80.0,70.0,72.0,70.0,70.0,69.0,52.0
2812,midfield,12.0,70.0,69.0,76.0,84.0,80.0,65.0,73.0,69.0,64.0,73.0,58.0
2813,midfield,6.0,69.0,67.0,72.0,68.0,91.0,72.0,67.0,68.0,66.0,74.0,60.0
2814,back,6.0,72.0,42.0,57.0,72.0,83.0,70.0,66.0,74.0,72.0,63.0,68.0
2815,goalkeeper,77.0,62.0,19.0,63.0,75.0,35.0,74.0,23.0,63.0,63.0,11.0,13.0
2816,midfield,6.0,80.0,67.0,70.0,68.0,79.0,72.0,75.0,79.0,86.0,79.0,58.0
2817,back,12.0,70.0,34.0,62.0,81.0,67.0,83.0,67.0,60.0,64.0,45.0,73.0
2818,goalkeeper,75.0,47.0,10.0,45.0,78.0,42.0,74.0,18.0,69.0,37.0,12.0,19.0
2819,midfield,7.0,74.0,62.0,74.0,75.0,65.0,74.0,72.0,72.0,69.0,74.0,58.0
2820,back,8.0,71.0,30.0,58.0,72.0,69.0,71.0,52.0,73.0,61.0,58.0,68.0
2821,goalkeeper,76.0,44.0,19.0,39.0,60.0,19.0,62.0,25.0,69.0,38.0,14.0,10.0
2822,midfield,7.0,66.0,46.0,75.0,69.0,73.0,75.0,75.0,68.0,60.0,71.0,59.0
2823,front,10.0,81.0,76.0,73.0,81.0,68.0,87.0,74.0,73.0,69.0,66.0,68.0
2824,back,13.0,64.0,58.0,65.0,70.0,90.0,77.0,72.0,68.0,75.0,62.0,61.0
2825,front,9.0,68.0,68.0,70.0,54.0,74.0,33.0,68.0,68.0,91.0,80.0,47.0
2826,midfield,16.0,67.0,65.0,73.0,33.0,69.0,49.0,69.0,73.0,81.0,76.0,55.0
2827,goalkeeper,68.0,39.0,14.0,21.0,65.0,30.0,35.0,12.0,69.0,28.0,18.0,15.0
2828,back,14.0,63.0,31.0,49.0,92.0,76.0,85.0,47.0,59.0,42.0,37.0,80.0
2829,midfield,6.0,65.0,64.0,71.0,39.0,81.0,70.0,73.0,77.0,90.0,75.0,65.0
2830,midfield,10.0,72.0,68.0,73.0,59.0,78.0,72.0,78.0,70.0,81.0,75.0,57.0
2831,midfield,12.0,72.0,67.0,75.0,70.0,74.0,57.0,72.0,70.0,72.0,71.0,45.0
2832,midfield,14.0,69.0,71.0,66.0,59.0,55.0,65.0,61.0,75.0,81.0,75.0,67.0
2833,back,8.0,66.0,29.0,50.0,77.0,66.0,79.0,56.0,66.0,57.0,53.0,76.0
2834,goalkeeper,71.0,59.0,11.0,40.0,77.0,30.0,55.0,13.0,72.0,30.0,12.0,14.0
2835,back,11.0,65.0,24.0,47.0,76.0,69.0,60.0,60.0,66.0,50.0,58.0,68.0
2836,back,13.0,64.0,40.0,40.0,84.0,73.0,85.0,73.0,62.0,50.0,49.0,81.0
2837,back,10.0,70.0,49.0,61.0,73.0,67.0,76.0,63.0,71.0,67.0,65.0,76.0
2838,back,7.0,66.0,21.0,29.0,75.0,68.0,66.0,47.0,68.0,67.0,48.0,73.0
2839,midfield,15.0,72.0,70.0,73.0,64.0,75.0,77.0,72.0,74.0,90.0,76.0,62.0
2840,goalkeeper,74.0,53.0,11.0,44.0,63.0,36.0,69.0,23.0,70.0,48.0,13.0,19.0
2841,midfield,5.0,75.0,72.0,78.0,59.0,62.0,62.0,67.0,65.0,72.0,70.0,58.0
2842,midfield,9.0,69.0,65.0,78.0,61.0,61.0,31.0,74.0,65.0,71.0,74.0,45.0
2843,midfield,15.0,69.0,64.0,72.0,62.0,65.0,74.0,81.0,74.0,76.0,77.0,45.0
2844,back,8.0,69.0,58.0,69.0,68.0,71.0,73.0,82.0,70.0,70.0,73.0,65.0
2845,midfield,11.0,62.0,74.0,59.0,63.0,64.0,50.0,76.0,75.0,88.0,79.0,37.0
2846,front,13.0,55.0,68.0,66.0,91.0,72.0,56.0,84.0,62.0,70.0,75.0,64.0
2847,midfield,15.0,73.0,56.0,73.0,66.0,79.0,53.0,85.0,75.0,72.0,74.0,54.0
2848,front,15.0,69.0,74.0,59.0,83.0,69.0,50.0,74.0,74.0,59.0,60.0,68.0
2849,midfield,11.0,75.0,42.0,67.0,73.0,86.0,62.0,50.0,64.0,84.0,61.0,55.0
2850,midfield,7.0,74.0,64.0,71.0,62.0,68.0,70.0,77.0,76.0,65.0,65.0,66.0
2851,midfield,11.0,69.0,61.0,70.0,40.0,69.0,88.0,60.0,68.0,93.0,77.0,38.0
2852,goalkeeper,72.0,38.0,19.0,44.0,70.0,28.0,72.0,22.0,71.0,38.0,17.0,18.0
2853,back,10.0,73.0,39.0,48.0,78.0,70.0,84.0,66.0,73.0,65.0,46.0,75.0
2854,back,1.0,69.0,53.0,65.0,65.0,87.0,57.0,74.0,73.0,73.0,66.0,59.0
2855,back,13.0,73.0,61.0,67.0,64.0,72.0,70.0,83.0,68.0,76.0,75.0,71.0
2856,back,7.0,62.0,42.0,37.0,85.0,57.0,83.0,73.0,62.0,32.0,45.0,80.0
2857,front,14.0,68.0,72.0,68.0,69.0,68.0,83.0,69.0,75.0,81.0,74.0,65.0
2858,back,7.0,64.0,48.0,58.0,77.0,79.0,78.0,68.0,72.0,72.0,68.0,60.0
2859,midfield,14.0,67.0,65.0,60.0,45.0,71.0,71.0,75.0,76.0,84.0,76.0,57.0
2860,back,12.0,73.0,57.0,63.0,71.0,90.0,72.0,73.0,72.0,74.0,76.0,58.0
2861,midfield,10.0,65.0,50.0,65.0,67.0,79.0,67.0,61.0,67.0,75.0,63.0,61.0
2862,midfield,13.0,80.0,68.0,73.0,70.0,80.0,72.0,71.0,71.0,70.0,73.0,62.0
2863,front,11.0,68.0,78.0,63.0,80.0,70.0,77.0,77.0,68.0,71.0,71.0,75.0
2864,midfield,16.0,71.0,64.0,74.0,62.0,81.0,77.0,72.0,69.0,84.0,71.0,56.0
2865,back,12.0,61.0,33.0,51.0,91.0,79.0,32.0,59.0,66.0,38.0,42.0,77.0
2866,back,12.0,64.0,25.0,64.0,64.0,72.0,72.0,66.0,68.0,79.0,69.0,61.0
2867,front,8.0,71.0,74.0,73.0,64.0,67.0,67.0,75.0,73.0,81.0,70.0,67.0
2868,back,8.0,68.0,42.0,40.0,80.0,72.0,73.0,64.0,65.0,61.0,57.0,67.0
2869,back,11.0,72.0,54.0,70.0,69.0,75.0,68.0,61.0,69.0,81.0,80.0,63.0
2870,midfield,15.0,65.0,58.0,63.0,80.0,82.0,78.0,72.0,66.0,72.0,65.0,69.0
2871,midfield,13.0,71.0,72.0,79.0,35.0,67.0,48.0,63.0,62.0,92.0,71.0,37.0
2872,midfield,12.0,72.0,52.0,57.0,75.0,79.0,73.0,58.0,71.0,61.0,62.0,58.0
2873,midfield,15.0,76.0,58.0,64.0,78.0,75.0,77.0,75.0,74.0,71.0,69.0,64.0
2874,front,8.0,73.0,74.0,74.0,52.0,80.0,73.0,70.0,70.0,81.0,71.0,58.0
2875,midfield,9.0,62.0,62.0,65.0,53.0,62.0,34.0,74.0,74.0,91.0,76.0,39.0
2876,goalkeeper,76.0,58.0,11.0,43.0,66.0,39.0,82.0,46.0,65.0,33.0,14.0,17.0
2877,back,15.0,82.0,40.0,67.0,72.0,67.0,74.0,48.0,76.0,68.0,67.0,68.0
2878,midfield,14.0,68.0,63.0,74.0,49.0,69.0,52.0,68.0,70.0,87.0,80.0,40.0
2879,goalkeeper,73.0,63.0,17.0,45.0,57.0,41.0,57.0,16.0,71.0,58.0,19.0,15.0
2880,midfield,15.0,67.0,68.0,61.0,82.0,87.0,80.0,67.0,73.0,73.0,69.0,69.0
2881,front,9.0,66.0,72.0,67.0,82.0,77.0,73.0,77.0,72.0,60.0,69.0,75.0
2882,back,13.0,70.0,24.0,31.0,79.0,65.0,74.0,47.0,70.0,45.0,35.0,68.0
2883,midfield,7.0,64.0,65.0,77.0,54.0,72.0,75.0,68.0,65.0,86.0,76.0,44.0
2884,front,13.0,79.0,77.0,60.0,75.0,67.0,71.0,77.0,67.0,67.0,65.0,72.0
2885,front,16.0,74.0,78.0,59.0,74.0,71.0,68.0,67.0,73.0,65.0,60.0,75.0
2886,back,4.0,60.0,21.0,30.0,84.0,53.0,90.0,66.0,70.0,62.0,43.0,69.0
2887,back,16.0,68.0,33.0,38.0,88.0,65.0,51.0,70.0,63.0,36.0,28.0,78.0
2888,front,8.0,71.0,72.0,62.0,77.0,67.0,64.0,77.0,66.0,68.0,71.0,71.0
2889,midfield,16.0,74.0,52.0,66.0,73.0,83.0,82.0,62.0,72.0,67.0,72.0,72.0
2890,back,9.0,70.0,41.0,42.0,73.0,63.0,70.0,35.0,66.0,61.0,59.0,71.0
2891,goalkeeper,74.0,54.0,12.0,35.0,69.0,45.0,55.0,20.0,69.0,35.0,15.0,14.0
2892,midfield,8.0,72.0,56.0,70.0,80.0,82.0,55.0,75.0,65.0,71.0,75.0,51.0
2893,midfield,14.0,62.0,38.0,63.0,78.0,79.0,87.0,80.0,72.0,73.0,59.0,72.0
2894,midfield,12.0,65.0,70.0,75.0,73.0,70.0,68.0,79.0,65.0,68.0,68.0,68.0
2895,midfield,9.0,70.0,65.0,74.0,34.0,79.0,63.0,74.0,70.0,94.0,72.0,49.0
2896,back,7.0,72.0,31.0,43.0,81.0,71.0,85.0,52.0,74.0,55.0,46.0,73.0
2897,midfield,7.0,76.0,66.0,66.0,64.0,76.0,45.0,75.0,72.0,71.0,78.0,46.0
2898,midfield,13.0,71.0,68.0,68.0,64.0,73.0,65.0,74.0,73.0,77.0,77.0,41.0
2899,back,8.0,71.0,48.0,51.0,64.0,74.0,71.0,57.0,65.0,68.0,65.0,67.0
2900,back,8.0,59.0,64.0,74.0,67.0,73.0,55.0,74.0,68.0,72.0,75.0,44.0
2901,midfield,7.0,64.0,69.0,72.0,66.0,91.0,86.0,66.0,73.0,72.0,73.0,70.0
2902,midfield,13.0,75.0,66.0,73.0,68.0,84.0,69.0,79.0,70.0,82.0,73.0,54.0
2903,midfield,8.0,73.0,61.0,74.0,45.0,70.0,50.0,70.0,68.0,86.0,73.0,47.0
2904,back,14.0,69.0,50.0,68.0,65.0,83.0,82.0,67.0,71.0,75.0,73.0,56.0
2905,midfield,11.0,69.0,60.0,73.0,69.0,79.0,63.0,71.0,71.0,75.0,72.0,60.0
2906,back,11.0,72.0,18.0,65.0,84.0,69.0,66.0,67.0,70.0,51.0,62.0,74.0
2907,goalkeeper,73.0,56.0,11.0,38.0,60.0,22.0,64.0,25.0,70.0,38.0,19.0,13.0
2908,midfield,7.0,71.0,73.0,68.0,78.0,71.0,71.0,80.0,67.0,69.0,72.0,69.0
2909,midfield,14.0,64.0,60.0,71.0,68.0,73.0,68.0,72.0,68.0,74.0,76.0,60.0
2910,goalkeeper,74.0,53.0,13.0,43.0,68.0,41.0,60.0,23.0,64.0,51.0,12.0,14.0
2911,midfield,16.0,74.0,65.0,73.0,66.0,86.0,58.0,78.0,71.0,69.0,70.0,45.0
2912,back,6.0,81.0,50.0,55.0,90.0,78.0,63.0,77.0,73.0,49.0,56.0,73.0
2913,front,8.0,68.0,75.0,65.0,79.0,66.0,70.0,80.0,67.0,67.0,69.0,75.0
2914,goalkeeper,73.0,40.0,20.0,66.0,51.0,39.0,78.0,25.0,63.0,69.0,14.0,17.0
2915,back,6.0,64.0,48.0,48.0,76.0,83.0,72.0,68.0,67.0,67.0,71.0,67.0
2916,back,6.0,72.0,31.0,42.0,84.0,63.0,89.0,61.0,70.0,62.0,45.0,71.0
2917,front,9.0,58.0,74.0,54.0,84.0,67.0,73.0,81.0,58.0,57.0,67.0,76.0
2918,back,8.0,70.0,34.0,51.0,71.0,85.0,64.0,70.0,73.0,70.0,67.0,52.0
2919,midfield,6.0,67.0,70.0,59.0,77.0,84.0,78.0,79.0,71.0,70.0,70.0,63.0
2920,back,10.0,72.0,48.0,65.0,65.0,72.0,72.0,75.0,72.0,72.0,72.0,61.0
2921,back,11.0,70.0,56.0,67.0,74.0,74.0,80.0,74.0,74.0,72.0,73.0,67.0
2922,front,7.0,53.0,73.0,59.0,74.0,63.0,81.0,78.0,72.0,66.0,73.0,73.0
2923,midfield,8.0,73.0,61.0,75.0,58.0,72.0,66.0,74.0,70.0,71.0,73.0,57.0
2924,midfield,10.0,72.0,45.0,74.0,84.0,68.0,72.0,80.0,63.0,44.0,64.0,75.0
2925,midfield,11.0,67.0,72.0,61.0,52.0,60.0,60.0,72.0,75.0,83.0,76.0,62.0
2926,midfield,10.0,73.0,59.0,69.0,56.0,74.0,67.0,68.0,68.0,88.0,76.0,58.0
2927,midfield,8.0,69.0,67.0,69.0,63.0,56.0,54.0,63.0,72.0,79.0,74.0,60.0
2928,midfield,10.0,57.0,75.0,69.0,62.0,72.0,54.0,76.0,68.0,78.0,78.0,56.0
2929,midfield,7.0,76.0,59.0,68.0,86.0,87.0,43.0,74.0,71.0,50.0,65.0,66.0
2930,midfield,14.0,61.0,71.0,66.0,64.0,83.0,91.0,65.0,79.0,85.0,73.0,34.0
2931,midfield,12.0,70.0,72.0,69.0,60.0,71.0,40.0,66.0,67.0,78.0,77.0,47.0
2932,back,16.0,62.0,21.0,41.0,80.0,57.0,72.0,44.0,68.0,45.0,36.0,69.0
2933,back,10.0,72.0,36.0,46.0,90.0,72.0,84.0,67.0,66.0,73.0,55.0,72.0
2934,goalkeeper,78.0,35.0,10.0,55.0,54.0,20.0,61.0,20.0,69.0,35.0,10.0,17.0
2935,back,10.0,66.0,45.0,41.0,76.0,70.0,70.0,62.0,71.0,52.0,50.0,76.0
2936,front,7.0,68.0,73.0,68.0,76.0,72.0,67.0,73.0,66.0,72.0,76.0,68.0
